Frame,obj_1,obj_2
1362,0.0,0.97
1363,0.0,0.97
1364,0.0,0.97
1365,0.0,0.97
1366,0.0,0.95
1367,0.0,0.92
1368,0.0,0.87
1369,0.0,0.82
1370,0.0,0.73
1371,0.0,0.65
1372,0.0,0.49
1373,0.0,0.34
1374,0.0,0.22
1375,0.0,0.15
1376,0.0,0.11
1377,0.0,0.09
1378,0.0,0.08
1379,0.0,0.08
1380,0.0,0.08
1381,0.0,0.09
1382,0.0,0.11
1383,0.0,0.13
1384,0.0,0.19
1385,0.0,0.26
1386,0.0,0.33
1387,0.0,0.48
1388,0.0,0.72
1389,0.0,0.89
1390,0.0,0.93
1391,0.0,0.94
1392,0.0,0.93
1393,0.0,0.93
1394,0.0,0.89
1395,0.0,0.76
1396,0.0,0.55
1397,0.0,0.25
1398,0.0,0.04
1399,0.0,0.02
1400,0.0,0.01
1401,0.0,0.01
1402,0.0,0.01
1403,0.0,0.01
1404,0.0,0.01
1405,0.0,0.02
1406,0.0,0.05
1407,0.0,0.12
1408,0.0,0.16
1409,0.0,0.13
1410,0.0,0.13
1411,0.0,0.17
1412,0.0,0.3
1413,0.0,0.57
1414,0.0,0.71
1415,0.0,0.73
1416,0.0,0.81
1417,0.0,0.83
1418,0.0,0.87
1419,0.0,0.92
1420,0.0,0.94
1421,0.0,0.95
1422,0.0,0.95
1423,0.0,0.96
1424,0.0,0.96
1425,0.0,0.96
1426,0.0,0.96
1427,0.0,0.96
1428,0.0,0.96
1429,0.0,0.95
1430,0.0,0.95
1431,0.0,0.95
1432,0.0,0.95
1433,0.0,0.95
1434,0.0,0.95
1435,0.0,0.95
1436,0.0,0.95
1437,0.0,0.96
1438,0.0,0.96
1439,0.0,0.96
1440,0.0,0.97
1441,0.0,0.97
1442,0.0,0.97
1443,0.0,0.98
1444,0.0,0.98
1445,0.0,0.98
1446,0.0,0.98
1447,0.0,0.98
1448,0.0,0.98
1449,0.0,0.98
1450,0.0,0.97
1451,0.0,0.97
1452,0.0,0.97
1453,0.0,0.97
1454,0.0,0.97
1455,0.0,0.97
1456,0.0,0.97
1457,0.0,0.97
1458,0.0,0.97
1459,0.0,0.98
1460,0.0,0.98
1461,0.0,0.98
1462,0.0,0.98
1463,0.0,0.98
1464,0.0,0.98
1465,0.0,0.98
1466,0.0,0.98
1467,0.0,0.98
1468,0.0,0.98
1469,0.0,0.98
1470,0.0,0.97
1471,0.0,0.97
1472,0.0,0.97
1473,0.0,0.96
1474,0.0,0.96
1475,0.0,0.96
1476,0.0,0.95
1477,0.0,0.95
1478,0.0,0.95
1479,0.0,0.95
1480,0.0,0.96
1481,0.0,0.96
1482,0.0,0.97
1483,0.0,0.97
1484,0.0,0.96
1485,0.0,0.96
1486,0.0,0.95
1487,0.0,0.94
1488,0.0,0.93
1489,0.0,0.92
1490,0.0,0.92
1491,0.0,0.92
1492,0.0,0.93
1493,0.0,0.91
1494,0.0,0.89
1495,0.0,0.86
1496,0.0,0.75
1497,0.0,0.5
1498,0.0,0.24
1499,0.0,0.04
1500,0.0,0.02
1501,0.0,0.01
1502,0.0,0.01
1503,0.0,0.01
1504,0.0,0.0
1505,0.0,0.0
1506,0.0,0.0
1507,0.0,0.0
1508,0.0,0.0
1509,0.0,0.0
1510,0.0,0.0
1511,0.0,0.0
1512,0.0,0.0
1513,0.0,0.0
1514,0.0,0.0
1515,0.0,0.0
1516,0.0,0.0
1517,0.0,0.0
1518,0.0,0.0
1519,0.0,0.0
1520,0.0,0.0
1521,0.0,0.0
1522,0.0,0.0
1523,0.0,0.0
1524,0.0,0.0
1525,0.0,0.0
1526,0.0,0.0
1527,0.0,0.0
1528,0.0,0.0
1529,0.0,0.0
1530,0.0,0.0
1531,0.0,0.0
1532,0.0,0.0
1533,0.0,0.0
1534,0.0,0.0
1535,0.0,0.0
1536,0.0,0.0
1537,0.0,0.0
1538,0.0,0.0
1539,0.01,0.0
1540,0.01,0.0
1541,0.01,0.0
1542,0.02,0.0
1543,0.04,0.0
1544,0.14,0.0
1545,0.39,0.0
1546,0.67,0.0
1547,0.82,0.0
1548,0.88,0.0
1549,0.92,0.0
1550,0.94,0.0
1551,0.95,0.0
1552,0.96,0.0
1553,0.96,0.0
1554,0.96,0.0
1555,0.96,0.0
1556,0.97,0.0
1557,0.97,0.0
1558,0.97,0.0
1559,0.98,0.0
1560,0.98,0.0
1561,0.98,0.0
1562,0.98,0.0
1563,0.98,0.0
1564,0.98,0.0
1565,0.99,0.0
1566,0.99,0.0
1567,0.99,0.0
1568,0.99,0.0
1569,0.99,0.0
1570,0.99,0.0
1571,0.99,0.0
1572,0.99,0.0
1573,0.99,0.0
1574,0.99,0.0
1575,0.99,0.0
1576,0.98,0.0
1577,0.98,0.0
1578,0.98,0.0
1579,0.98,0.0
1580,0.98,0.0
1581,0.97,0.0
1582,0.93,0.0
1583,0.45,0.0
1584,0.07,0.0
1585,0.02,0.0
1586,0.01,0.0
1587,0.0,0.0
1588,0.0,0.0
1589,0.0,0.0
1590,0.0,0.0
1591,0.0,0.0
1592,0.0,0.0
1593,0.0,0.0
1594,0.0,0.0
1595,0.0,0.0
1596,0.0,0.0
1597,0.0,0.0
1598,0.0,0.0
1599,0.0,0.0
1600,0.0,0.0
1601,0.0,0.0
1602,0.0,0.0
1603,0.0,0.0
1604,0.0,0.0
1605,0.01,0.0
1606,0.01,0.0
1607,0.01,0.0
1608,0.02,0.0
1609,0.02,0.0
1610,0.02,0.0
1611,0.03,0.0
1612,0.04,0.0
1613,0.05,0.0
1614,0.11,0.0
1615,0.42,0.0
1616,0.74,0.0
1617,0.85,0.0
1618,0.88,0.0
1619,0.88,0.0
1620,0.87,0.0
1621,0.83,0.0
1622,0.78,0.0
1623,0.74,0.0
1624,0.69,0.0
1625,0.71,0.0
1626,0.78,0.0
1627,0.82,0.0
1628,0.87,0.0
1629,0.91,0.0
1630,0.93,0.0
1631,0.93,0.0
1632,0.94,0.0
1633,0.93,0.0
1634,0.92,0.0
1635,0.91,0.0
1636,0.88,0.0
1637,0.83,0.0
1638,0.79,0.0
1639,0.8,0.0
1640,0.83,0.0
1641,0.88,0.0
1642,0.92,0.0
1643,0.94,0.0
1644,0.94,0.0
1645,0.95,0.0
1646,0.95,0.0
1647,0.95,0.0
1648,0.95,0.0
1649,0.96,0.0
1650,0.97,0.0
1651,0.97,0.0
1652,0.97,0.0
1653,0.97,0.0
1654,0.97,0.0
1655,0.98,0.0
1656,0.98,0.0
1657,0.98,0.0
1658,0.98,0.0
1659,0.98,0.0
1660,0.98,0.0
1661,0.98,0.0
1662,0.98,0.0
1663,0.97,0.0
1664,0.91,0.0
1665,0.57,0.0
1666,0.16,0.0
1667,0.07,0.0
1668,0.03,0.0
1669,0.02,0.0
1670,0.01,0.0
1671,0.01,0.0
1672,0.01,0.0
1673,0.01,0.0
1674,0.01,0.0
1675,0.01,0.0
1676,0.01,0.0
1677,0.01,0.0
1678,0.01,0.0
1679,0.01,0.0
1680,0.01,0.0
1681,0.01,0.0
1682,0.01,0.0
1683,0.01,0.0
1684,0.01,0.0
1685,0.01,0.0
1686,0.01,0.0
1687,0.01,0.0
1688,0.01,0.0
1689,0.01,0.0
1690,0.01,0.0
1691,0.01,0.0
1692,0.01,0.0
1693,0.01,0.0
1694,0.01,0.0
1695,0.01,0.0
1696,0.01,0.0
1697,0.01,0.0
1698,0.01,0.0
1699,0.02,0.0
1700,0.02,0.0
1701,0.06,0.0
1702,0.19,0.0
1703,0.31,0.0
1704,0.48,0.0
1705,0.48,0.0
1706,0.37,0.0
1707,0.27,0.0
1708,0.13,0.0
1709,0.05,0.0
1710,0.02,0.01
1711,0.01,0.01
1712,0.0,0.01
1713,0.0,0.01
1714,0.0,0.01
1715,0.0,0.01
1716,0.0,0.01
1717,0.0,0.01
1718,0.0,0.0
1719,0.0,0.0
1720,0.0,0.0
1721,0.0,0.0
1722,0.0,0.0
1723,0.0,0.0
1724,0.0,0.0
1725,0.0,0.0
1726,0.0,0.0
1727,0.0,0.0
1728,0.0,0.0
1729,0.0,0.0
1730,0.0,0.0
1731,0.0,0.0
1732,0.0,0.0
1733,0.0,0.0
1734,0.0,0.0
1735,0.0,0.0
1736,0.0,0.0
1737,0.0,0.0
1738,0.0,0.0
1739,0.0,0.0
1740,0.0,0.0
1741,0.0,0.0
1742,0.0,0.0
1743,0.0,0.0
1744,0.0,0.0
1745,0.0,0.0
1746,0.0,0.0
1747,0.0,0.0
1748,0.0,0.0
1749,0.0,0.0
1750,0.01,0.0
1751,0.02,0.0
1752,0.13,0.0
1753,0.4,0.0
1754,0.56,0.0
1755,0.66,0.0
1756,0.65,0.0
1757,0.51,0.0
1758,0.32,0.0
1759,0.09,0.0
1760,0.03,0.0
1761,0.03,0.0
1762,0.02,0.0
1763,0.02,0.0
1764,0.02,0.0
1765,0.02,0.0
1766,0.01,0.0
1767,0.0,0.0
1768,0.0,0.0
1769,0.0,0.0
1770,0.0,0.01
1771,0.0,0.01
1772,0.0,0.09
1773,0.0,0.47
1774,0.0,0.74
1775,0.0,0.88
1776,0.0,0.94
1777,0.0,0.95
1778,0.0,0.96
1779,0.0,0.97
1780,0.0,0.97
1781,0.0,0.97
1782,0.0,0.97
1783,0.0,0.96
1784,0.0,0.95
1785,0.0,0.87
1786,0.0,0.72
1787,0.0,0.52
1788,0.0,0.27
1789,0.0,0.11
1790,0.0,0.06
1791,0.0,0.03
1792,0.0,0.02
1793,0.0,0.02
1794,0.0,0.01
1795,0.0,0.01
1796,0.0,0.01
1797,0.0,0.01
1798,0.0,0.02
1799,0.0,0.02
1800,0.0,0.03
1801,0.0,0.04
1802,0.0,0.07
1803,0.0,0.1
1804,0.0,0.12
1805,0.0,0.08
1806,0.0,0.06
1807,0.0,0.04
1808,0.0,0.04
1809,0.0,0.03
1810,0.0,0.03
1811,0.0,0.03
1812,0.0,0.03
1813,0.0,0.02
1814,0.0,0.02
1815,0.0,0.01
1816,0.0,0.01
1817,0.0,0.01
1818,0.0,0.01
1819,0.0,0.01
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,0.0,0.0
1837,0.0,0.0
1838,0.0,0.0
1839,0.0,0.0
1840,0.0,0.0
1841,0.0,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,0.0,0.0
1861,0.0,0.0
1862,0.0,0.0
1863,0.0,0.0
1864,0.0,0.0
1865,0.0,0.0
1866,0.0,0.0
1867,0.0,0.0
1868,0.0,0.0
1869,0.0,0.0
1870,0.0,0.0
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,0.0
1874,0.0,0.0
1875,0.0,0.0
1876,0.0,0.0
1877,0.0,0.0
1878,0.0,0.0
1879,0.0,0.0
1880,0.0,0.0
1881,0.0,0.0
1882,0.0,0.0
1883,0.0,0.0
1884,0.0,0.0
1885,0.0,0.0
1886,0.0,0.0
1887,0.0,0.0
1888,0.0,0.0
1889,0.0,0.0
1890,0.0,0.0
1891,0.0,0.0
1892,0.0,0.0
1893,0.0,0.0
1894,0.0,0.0
1895,0.0,0.0
1896,0.0,0.0
1897,0.0,0.0
1898,0.0,0.0
1899,0.0,0.0
1900,0.0,0.0
1901,0.0,0.0
1902,0.0,0.0
1903,0.0,0.0
1904,0.0,0.0
1905,0.0,0.0
1906,0.0,0.0
1907,0.0,0.01
1908,0.0,0.01
1909,0.0,0.01
1910,0.0,0.02
1911,0.0,0.02
1912,0.0,0.02
1913,0.0,0.03
1914,0.0,0.02
1915,0.0,0.03
1916,0.0,0.03
1917,0.0,0.03
1918,0.0,0.04
1919,0.0,0.04
1920,0.0,0.05
1921,0.0,0.05
1922,0.0,0.05
1923,0.0,0.06
1924,0.0,0.06
1925,0.0,0.06
1926,0.0,0.06
1927,0.0,0.05
1928,0.0,0.05
1929,0.0,0.05
1930,0.0,0.05
1931,0.0,0.05
1932,0.0,0.04
1933,0.0,0.04
1934,0.0,0.03
1935,0.0,0.03
1936,0.0,0.03
1937,0.0,0.03
1938,0.0,0.03
1939,0.0,0.03
1940,0.0,0.02
1941,0.0,0.02
1942,0.0,0.02
1943,0.0,0.02
1944,0.0,0.02
1945,0.0,0.02
1946,0.0,0.02
1947,0.0,0.02
1948,0.0,0.02
1949,0.0,0.02
1950,0.0,0.02
1951,0.0,0.02
1952,0.0,0.02
1953,0.0,0.02
1954,0.0,0.02
1955,0.0,0.02
1956,0.0,0.02
1957,0.0,0.02
1958,0.0,0.02
1959,0.0,0.02
1960,0.0,0.02
1961,0.0,0.02
1962,0.0,0.02
1963,0.0,0.03
1964,0.0,0.03
1965,0.0,0.03
1966,0.0,0.03
1967,0.0,0.03
1968,0.0,0.03
1969,0.0,0.03
1970,0.0,0.03
1971,0.0,0.03
1972,0.0,0.03
1973,0.0,0.03
1974,0.0,0.03
1975,0.0,0.03
1976,0.0,0.03
1977,0.0,0.03
1978,0.0,0.03
1979,0.0,0.03
1980,0.0,0.03
1981,0.0,0.03
1982,0.0,0.03
1983,0.0,0.03
1984,0.0,0.03
1985,0.0,0.03
1986,0.0,0.03
1987,0.0,0.03
1988,0.0,0.03
1989,0.0,0.03
1990,0.0,0.03
1991,0.0,0.03
1992,0.0,0.03
1993,0.0,0.03
1994,0.0,0.03
1995,0.0,0.03
1996,0.0,0.03
1997,0.0,0.03
1998,0.0,0.03
1999,0.0,0.03
2000,0.0,0.03
2001,0.0,0.03
2002,0.0,0.03
2003,0.0,0.03
2004,0.0,0.03
2005,0.0,0.03
2006,0.0,0.03
2007,0.0,0.03
2008,0.0,0.03
2009,0.0,0.03
2010,0.0,0.03
2011,0.0,0.02
2012,0.0,0.02
2013,0.0,0.02
2014,0.0,0.02
2015,0.0,0.02
2016,0.0,0.02
2017,0.0,0.03
2018,0.0,0.03
2019,0.0,0.03
2020,0.0,0.03
2021,0.0,0.03
2022,0.0,0.03
2023,0.0,0.03
2024,0.0,0.03
2025,0.0,0.02
2026,0.0,0.02
2027,0.0,0.02
2028,0.0,0.02
2029,0.0,0.02
2030,0.0,0.02
2031,0.0,0.02
2032,0.0,0.03
2033,0.0,0.03
2034,0.0,0.03
2035,0.0,0.03
2036,0.0,0.02
2037,0.0,0.02
2038,0.0,0.02
2039,0.0,0.02
2040,0.0,0.02
2041,0.0,0.02
2042,0.0,0.02
2043,0.0,0.02
2044,0.0,0.03
2045,0.0,0.03
2046,0.0,0.03
2047,0.0,0.03
2048,0.0,0.03
2049,0.0,0.03
2050,0.0,0.03
2051,0.0,0.03
2052,0.0,0.04
2053,0.0,0.05
2054,0.0,0.07
2055,0.0,0.1
2056,0.0,0.12
2057,0.0,0.13
2058,0.0,0.13
2059,0.0,0.12
2060,0.0,0.09
2061,0.0,0.08
2062,0.0,0.07
2063,0.0,0.06
2064,0.0,0.06
2065,0.0,0.06
2066,0.0,0.07
2067,0.0,0.09
2068,0.0,0.1
2069,0.0,0.13
2070,0.0,0.19
2071,0.0,0.26
2072,0.0,0.4
2073,0.0,0.68
2074,0.0,0.86
2075,0.0,0.94
2076,0.0,0.97
2077,0.0,0.98
2078,0.0,0.98
2079,0.0,0.99
2080,0.0,0.99
2081,0.0,0.99
2082,0.0,0.99
2083,0.0,0.99
2084,0.0,0.99
2085,0.0,0.99
2086,0.0,0.99
2087,0.0,0.99
2088,0.0,0.99
2089,0.0,0.99
2090,0.0,0.99
2091,0.0,0.99
2092,0.0,0.99
2093,0.0,0.99
2094,0.0,0.99
2095,0.0,0.99
2096,0.0,0.99
2097,0.0,0.99
2098,0.0,0.99
2099,0.0,0.99
2100,0.0,0.99
2101,0.0,0.99
2102,0.0,0.99
2103,0.0,0.99
2104,0.0,0.99
2105,0.0,0.99
2106,0.0,0.99
2107,0.0,0.99
2108,0.0,0.99
2109,0.0,0.99
2110,0.0,0.98
2111,0.0,0.98
2112,0.0,0.97
2113,0.0,0.96
2114,0.0,0.95
2115,0.0,0.95
2116,0.0,0.94
2117,0.0,0.95
2118,0.0,0.95
2119,0.0,0.95
2120,0.0,0.95
2121,0.0,0.95
2122,0.0,0.94
2123,0.0,0.94
2124,0.0,0.93
2125,0.01,0.91
2126,0.01,0.9
2127,0.01,0.88
2128,0.01,0.86
2129,0.01,0.82
2130,0.01,0.77
2131,0.01,0.73
2132,0.01,0.69
2133,0.01,0.69
2134,0.01,0.69
2135,0.01,0.69
2136,0.01,0.71
2137,0.01,0.74
2138,0.01,0.76
2139,0.01,0.79
2140,0.01,0.84
2141,0.01,0.87
2142,0.01,0.9
2143,0.01,0.92
2144,0.0,0.93
2145,0.0,0.94
2146,0.0,0.93
2147,0.0,0.91
2148,0.0,0.87
2149,0.0,0.71
2150,0.01,0.24
2151,0.01,0.08
2152,0.01,0.03
2153,0.01,0.02
2154,0.01,0.01
2155,0.01,0.01
2156,0.02,0.0
2157,0.02,0.0
2158,0.03,0.0
2159,0.04,0.0
2160,0.06,0.0
2161,0.07,0.0
2162,0.08,0.0
2163,0.09,0.0
2164,0.11,0.0
2165,0.13,0.0
2166,0.15,0.0
2167,0.17,0.0
2168,0.16,0.0
2169,0.09,0.0
2170,0.06,0.0
2171,0.04,0.0
2172,0.03,0.0
2173,0.02,0.0
2174,0.02,0.0
2175,0.01,0.0
2176,0.01,0.0
2177,0.01,0.0
2178,0.01,0.0
2179,0.01,0.0
2180,0.01,0.0
2181,0.01,0.0
2182,0.01,0.0
2183,0.01,0.0
2184,0.01,0.0
2185,0.01,0.0
2186,0.02,0.0
2187,0.02,0.0
2188,0.02,0.0
2189,0.02,0.0
2190,0.03,0.0
2191,0.03,0.0
2192,0.04,0.0
2193,0.04,0.0
2194,0.05,0.0
2195,0.07,0.0
2196,0.09,0.0
2197,0.14,0.0
2198,0.22,0.0
2199,0.27,0.0
2200,0.3,0.0
2201,0.32,0.0
2202,0.32,0.0
2203,0.32,0.0
2204,0.32,0.0
2205,0.31,0.0
2206,0.28,0.0
2207,0.22,0.0
2208,0.12,0.0
2209,0.05,0.0
2210,0.03,0.0
2211,0.03,0.0
2212,0.03,0.0
2213,0.02,0.0
2214,0.02,0.0
2215,0.03,0.0
2216,0.03,0.0
2217,0.06,0.0
2218,0.15,0.0
2219,0.23,0.0
2220,0.26,0.0
2221,0.3,0.0
2222,0.33,0.0
2223,0.36,0.0
2224,0.37,0.0
2225,0.4,0.0
2226,0.44,0.0
2227,0.49,0.0
2228,0.58,0.0
2229,0.7,0.0
2230,0.84,0.0
2231,0.9,0.0
2232,0.92,0.0
2233,0.94,0.0
2234,0.94,0.0
2235,0.94,0.0
2236,0.93,0.0
2237,0.93,0.0
2238,0.92,0.0
2239,0.92,0.0
2240,0.91,0.0
2241,0.9,0.0
2242,0.89,0.0
2243,0.89,0.0
2244,0.9,0.0
2245,0.93,0.0
2246,0.95,0.0
2247,0.96,0.0
2248,0.97,0.0
2249,0.97,0.0
2250,0.98,0.0
2251,0.98,0.0
2252,0.98,0.0
2253,0.98,0.0
2254,0.98,0.0
2255,0.98,0.0
2256,0.98,0.0
2257,0.97,0.0
2258,0.94,0.0
2259,0.93,0.0
2260,0.9,0.0
2261,0.86,0.0
2262,0.81,0.0
2263,0.56,0.0
2264,0.27,0.0
2265,0.09,0.0
2266,0.07,0.0
2267,0.06,0.0
2268,0.05,0.0
2269,0.06,0.0
2270,0.08,0.0
2271,0.08,0.0
2272,0.09,0.0
2273,0.07,0.0
2274,0.05,0.0
2275,0.05,0.0
2276,0.07,0.0
2277,0.09,0.0
2278,0.1,0.0
2279,0.1,0.0
2280,0.1,0.0
2281,0.08,0.0
2282,0.08,0.0
2283,0.11,0.0
2284,0.11,0.0
2285,0.14,0.0
2286,0.19,0.0
2287,0.22,0.0
2288,0.2,0.0
2289,0.22,0.0
2290,0.17,0.0
2291,0.09,0.0
2292,0.1,0.0
2293,0.11,0.0
2294,0.16,0.0
2295,0.17,0.0
2296,0.11,0.0
2297,0.07,0.0
2298,0.04,0.0
2299,0.03,0.0
2300,0.02,0.0
2301,0.02,0.0
2302,0.01,0.01
2303,0.01,0.01
2304,0.02,0.01
2305,0.03,0.01
2306,0.03,0.01
2307,0.03,0.0
2308,0.02,0.0
2309,0.01,0.0
2310,0.01,0.0
2311,0.01,0.0
2312,0.0,0.0
2313,0.0,0.01
2314,0.0,0.01
2315,0.0,0.01
2316,0.0,0.01
2317,0.0,0.01
2318,0.0,0.01
2319,0.02,0.0
2320,0.17,0.0
2321,0.31,0.0
2322,0.3,0.0
2323,0.3,0.0
2324,0.46,0.0
2325,0.66,0.0
2326,0.86,0.0
2327,0.92,0.0
2328,0.94,0.0
2329,0.94,0.0
2330,0.95,0.0
2331,0.95,0.0
2332,0.95,0.0
2333,0.95,0.0
2334,0.95,0.0
2335,0.95,0.0
2336,0.95,0.0
2337,0.95,0.0
2338,0.95,0.0
2339,0.91,0.0
2340,0.85,0.0
2341,0.42,0.0
2342,0.1,0.0
2343,0.01,0.0
2344,0.0,0.0
2345,0.0,0.0
2346,0.0,0.0
2347,0.0,0.0
2348,0.0,0.0
2349,0.0,0.0
2350,0.0,0.0
2351,0.0,0.0
2352,0.0,0.0
2353,0.0,0.0
2354,0.0,0.0
2355,0.0,0.0
2356,0.0,0.0
2357,0.0,0.0
2358,0.0,0.0
2359,0.0,0.0
2360,0.0,0.0
2361,0.0,0.0
2362,0.0,0.0
2363,0.0,0.0
2364,0.0,0.0
2365,0.0,0.0
2366,0.0,0.0
2367,0.0,0.0
2368,0.0,0.0
2369,0.0,0.0
2370,0.0,0.0
2371,0.01,0.0
2372,0.08,0.0
2373,0.66,0.0
2374,0.86,0.0
2375,0.92,0.0
2376,0.94,0.0
2377,0.94,0.0
2378,0.95,0.0
2379,0.95,0.0
2380,0.95,0.0
2381,0.94,0.0
2382,0.94,0.0
2383,0.92,0.0
2384,0.91,0.0
2385,0.91,0.0
2386,0.9,0.0
2387,0.9,0.0
2388,0.89,0.0
2389,0.86,0.0
2390,0.87,0.0
2391,0.88,0.0
2392,0.87,0.0
2393,0.89,0.0
2394,0.9,0.0
2395,0.9,0.0
2396,0.9,0.0
2397,0.91,0.0
2398,0.91,0.0
2399,0.9,0.0
2400,0.89,0.0
2401,0.83,0.0
2402,0.73,0.0
2403,0.61,0.0
2404,0.43,0.0
2405,0.28,0.0
2406,0.15,0.0
2407,0.09,0.0
2408,0.05,0.0
2409,0.04,0.0
2410,0.03,0.0
2411,0.02,0.0
2412,0.01,0.0
2413,0.01,0.0
2414,0.01,0.0
2415,0.01,0.0
2416,0.01,0.0
2417,0.01,0.0
2418,0.01,0.0
2419,0.01,0.0
2420,0.01,0.0
2421,0.01,0.0
2422,0.01,0.0
2423,0.01,0.0
2424,0.01,0.0
2425,0.01,0.0
2426,0.0,0.0
2427,0.0,0.0
2428,0.0,0.0
2429,0.0,0.0
2430,0.0,0.0
2431,0.0,0.0
2432,0.0,0.0
2433,0.0,0.0
2434,0.0,0.0
2435,0.0,0.0
2436,0.0,0.0
2437,0.0,0.0
2438,0.0,0.0
2439,0.0,0.0
2440,0.0,0.0
2441,0.0,0.0
2442,0.0,0.0
2443,0.0,0.0
2444,0.0,0.0
2445,0.0,0.0
2446,0.0,0.0
2447,0.0,0.0
2448,0.0,0.0
2449,0.0,0.0
2450,0.0,0.0
2451,0.0,0.0
2452,0.0,0.0
2453,0.0,0.0
2454,0.0,0.0
2455,0.0,0.0
2456,0.0,0.0
2457,0.0,0.0
2458,0.0,0.0
2459,0.0,0.0
2460,0.0,0.0
2461,0.0,0.0
2462,0.0,0.0
2463,0.0,0.0
2464,0.0,0.0
2465,0.0,0.0
2466,0.0,0.0
2467,0.0,0.0
2468,0.0,0.0
2469,0.0,0.0
2470,0.0,0.0
2471,0.0,0.0
2472,0.0,0.0
2473,0.0,0.0
2474,0.0,0.0
2475,0.0,0.0
2476,0.0,0.0
2477,0.0,0.0
2478,0.0,0.0
2479,0.0,0.0
2480,0.0,0.0
2481,0.0,0.0
2482,0.0,0.0
2483,0.0,0.0
2484,0.0,0.0
2485,0.0,0.0
2486,0.0,0.0
2487,0.0,0.0
2488,0.0,0.0
2489,0.0,0.0
2490,0.0,0.0
2491,0.0,0.0
2492,0.0,0.0
2493,0.0,0.0
2494,0.0,0.0
2495,0.0,0.0
2496,0.0,0.0
2497,0.0,0.0
2498,0.0,0.0
2499,0.0,0.0
2500,0.0,0.0
2501,0.0,0.0
2502,0.0,0.0
2503,0.0,0.0
2504,0.0,0.0
2505,0.0,0.0
2506,0.0,0.0
2507,0.0,0.0
2508,0.0,0.01
2509,0.0,0.01
2510,0.0,0.01
2511,0.0,0.0
2512,0.0,0.0
2513,0.0,0.0
2514,0.0,0.0
2515,0.0,0.0
2516,0.0,0.0
2517,0.0,0.0
2518,0.0,0.0
2519,0.0,0.0
2520,0.0,0.0
2521,0.0,0.0
2522,0.0,0.0
2523,0.0,0.0
2524,0.0,0.0
2525,0.0,0.0
2526,0.0,0.0
2527,0.0,0.0
2528,0.0,0.01
2529,0.0,0.01
2530,0.0,0.01
2531,0.0,0.01
2532,0.0,0.02
2533,0.0,0.1
2534,0.0,0.35
2535,0.0,0.48
2536,0.0,0.51
2537,0.0,0.3
2538,0.0,0.06
2539,0.0,0.02
2540,0.0,0.01
2541,0.0,0.01
2542,0.0,0.01
2543,0.0,0.0
2544,0.0,0.0
2545,0.0,0.0
2546,0.0,0.0
2547,0.0,0.0
2548,0.0,0.0
2549,0.0,0.0
2550,0.0,0.0
2551,0.0,0.0
2552,0.0,0.0
2553,0.0,0.0
2554,0.0,0.0
2555,0.0,0.0
2556,0.0,0.0
2557,0.0,0.0
2558,0.0,0.0
2559,0.0,0.0
2560,0.0,0.0
2561,0.0,0.0
2562,0.0,0.0
2563,0.0,0.0
2564,0.0,0.0
2565,0.0,0.0
2566,0.0,0.0
2567,0.0,0.0
2568,0.0,0.0
2569,0.0,0.0
2570,0.0,0.0
2571,0.0,0.0
2572,0.0,0.0
2573,0.0,0.0
2574,0.0,0.01
2575,0.0,0.01
2576,0.0,0.01
2577,0.0,0.01
2578,0.0,0.01
2579,0.0,0.02
2580,0.0,0.04
2581,0.0,0.06
2582,0.0,0.08
2583,0.0,0.08
2584,0.0,0.08
2585,0.0,0.08
2586,0.0,0.08
2587,0.0,0.09
2588,0.0,0.1
2589,0.0,0.11
2590,0.0,0.12
2591,0.0,0.13
2592,0.0,0.13
2593,0.0,0.14
2594,0.0,0.14
2595,0.0,0.14
2596,0.0,0.14
2597,0.0,0.15
2598,0.0,0.14
2599,0.0,0.14
2600,0.0,0.13
2601,0.0,0.12
2602,0.0,0.11
2603,0.0,0.11
2604,0.0,0.1
2605,0.0,0.1
2606,0.0,0.11
2607,0.0,0.12
2608,0.0,0.14
2609,0.0,0.15
2610,0.0,0.16
2611,0.0,0.15
2612,0.0,0.14
2613,0.0,0.12
2614,0.0,0.1
2615,0.0,0.09
2616,0.0,0.09
2617,0.0,0.09
2618,0.0,0.1
2619,0.0,0.12
2620,0.0,0.13
2621,0.0,0.15
2622,0.0,0.17
2623,0.0,0.21
2624,0.0,0.26
2625,0.0,0.3
2626,0.0,0.32
2627,0.0,0.31
2628,0.0,0.28
2629,0.0,0.25
2630,0.0,0.2
2631,0.0,0.11
2632,0.0,0.04
